TOA5,CR1000,CR1000,86673,CR1000.Std.31.03,CPU:Chieppa_8sensors variable voltage.CR1,13783,Quantum,,,,
TIMESTAMP,RECORD,BattV_Min,PanelT,PPF(1),PPF(2),PPF(3),PPF(4),PPF(5),PPF(6),PPF(7),PPF(8)
TS,RN,,,,,,,,,,
,,Min,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
6/7/2024 17:50,84187,13.60976,21.67051,298.3353,522.3005,392.3665,275.2549,516.3167,518.8812,297.4805,618.8962
6/7/2024 17:55,84188,13.60905,21.61628,577.8907,320.5755,421.4499,529.1633,486.4199,349.641,551.3898,623.1988
6/7/2024 18:00,84189,13.60907,21.61628,312.8943,553.1219,299.2159,376.1571,487.2945,277.8433,260.7453,286.3924
6/7/2024 18:05,84190,13.6095,21.58692,346.2346,313.7484,234.2427,247.0662,513.7951,269.2936,553.9755,288.9563
6/7/2024 18:10,84191,13.60984,21.72473,207.7435,333.4155,255.6185,495.8487,455.6678,530.0451,222.277,588.1791
6/7/2024 18:15,84192,13.60945,21.83543,188.0638,157.2897,447.0788,245.3377,366.7243,386.3855,202.5959,589.8363
6/7/2024 18:20,84193,13.60527,21.94614,424.0023,264.1466,423.1474,392.373,283.808,199.1785,253.8884,494.9543
6/7/2024 18:25,84194,13.60408,22.02973,138.4831,219.6923,300.0467,529.9971,238.4987,104.2897,184.6441,323.1272
6/7/2024 18:30,84195,13.60369,22.05684,249.6119,239.3539,235.0797,275.257,253.0313,155.58,288.9344,284.6602
6/7/2024 18:35,84196,13.60319,22.05684,218.8357,190.6264,388.0914,508.622,268.4156,222.255,116.2565,600.0884
6/7/2024 18:40,84197,13.60258,22.05684,188.0511,320.5417,439.3558,299.1722,269.255,391.4882,388.9239,589.7966
6/7/2024 18:45,84198,13.60923,21.94614,357.3108,107.7061,223.1055,335.0857,269.2653,230.7988,102.5773,459.888
6/7/2024 18:50,84199,13.60346,21.86255,109.4215,388.1042,306.0381,523.1714,270.1342,171.8259,318.861,328.2644
6/7/2024 18:55,84200,13.6036,21.75184,438.5248,159.8521,429.9765,267.5599,270.1244,94.88548,197.4644,377.8323
6/7/2024 19:00,84201,13.6094,21.67051,114.5493,236.7922,223.1146,495.8103,270.1311,177.8078,191.4854,592.4078
6/7/2024 19:05,84202,13.60349,21.61628,335.9649,217.1376,319.7223,268.43,270.1397,229.1058,239.3643,590.7169
6/7/2024 19:10,84203,13.60408,21.61628,194.0582,187.2192,424.0215,488.1376,270.1427,388.9713,159.0081,308.6124
6/7/2024 19:15,84204,13.60373,21.67051,220.5706,318.032,214.5861,478.7579,269.3013,216.296,325.7263,287.2547
6/7/2024 19:20,84205,13.61059,21.78121,251.3324,118.8272,207.7339,275.2688,253.897,126.5211,104.2944,594.1362
6/7/2024 19:25,84206,13.60435,21.91903,144.4646,357.3148,444.5065,516.3113,238.4948,145.3194,360.7341,591.5355
6/7/2024 19:30,84207,13.60323,22.00036,442.7928,107.7063,423.1321,352.1826,264.137,235.0734,102.5775,528.274
6/7/2024 19:35,84208,13.60303,22.05684,126.5185,435.121,235.9399,250.4724,307.7477,356.4744,416.3142,309.4574
6/7/2024 19:40,84209,13.60803,22.11332,267.5722,105.1482,351.3488,494.9659,365.8815,177.8116,101.7287,304.3314
6/7/2024 19:45,84210,13.6024,22.11332,200.0254,309.4409,438.5172,267.5553,403.47,100.8675,376.9709,563.3193
6/7/2024 19:50,84211,13.60319,22.05684,208.5746,212.8486,217.1227,468.4379,453.0513,162.4146,102.5777,591.5311
6/7/2024 19:55,84212,13.60328,22.00036,318.8354,194.8914,304.304,444.489,460.73,234.2115,323.1093,545.3539
6/7/2024 20:00,84213,13.60355,21.88965,115.3955,256.4345,425.6812,246.1771,475.2586,389.7804,154.7155,315.4144
6/7/2024 20:05,84214,13.60354,21.78121,103.432,137.6244,209.4284,495.7897,130.7859,228.2342,258.1526,287.2161
6/7/2024 20:10,84215,13.60411,21.72473,35.90234,148.7383,141.0449,259.8646,128.2226,168.3991,63.2565,335.0885
6/7/2024 20:15,84216,13.60467,21.83543,158.1522,74.37429,105.1499,255.6082,119.6828,21.37192,82.92307,129.0864
6/7/2024 20:20,84217,13.60455,21.94614,2.564512,64.11279,24.79028,140.1933,111.1288,78.64502,90.61274,80.3547
6/7/2024 20:25,84218,13.60898,22.05684,156.4288,75.2226,97.44746,138.478,88.04463,50.43333,19.66045,164.9768
6/7/2024 20:30,84219,13.60315,22.11332,62.39954,76.07615,144.4592,224.8093,62.39954,152.1523,164.1193,253.0173
